Read data and preprocess ...

trainData length: 60
valiData length: 69
testData length: 69
Train time: 312.104719 sec
min val_loss: 10.883898, epoch: 1759
min val_precision: 2.826579, epoch: 1150
k = 0
estimated: 107.959961, ground truth: 103.808258
estimated: 120.130661, ground truth: 114.602180
estimated: 112.819969, ground truth: 110.638374
estimated: 122.916389, ground truth: 124.282906
estimated: 113.774460, ground truth: 116.355988
estimated: 124.883034, ground truth: 120.430733
estimated: 118.730148, ground truth: 120.087265
estimated: 109.628212, ground truth: 106.690674
estimated: 123.189453, ground truth: 123.053062
estimated: 117.092262, ground truth: 114.125938
estimated: 123.995499, ground truth: 127.073135
estimated: 108.658386, ground truth: 112.068298
estimated: 107.028709, ground truth: 104.973335
estimated: 114.978691, ground truth: 113.204010
estimated: 113.115273, ground truth: 109.147652
estimated: 113.090553, ground truth: 113.763840
estimated: 115.177834, ground truth: 114.373283
estimated: 110.587830, ground truth: 112.491676
estimated: 114.844894, ground truth: 113.479439
estimated: 108.763077, ground truth: 110.014069
estimated: 115.703941, ground truth: 116.050499
estimated: 108.193443, ground truth: 101.551834
estimated: 114.622635, ground truth: 114.684563
estimated: 112.858574, ground truth: 107.776871
estimated: 111.732292, ground truth: 109.384140
estimated: 108.220314, ground truth: 109.291389
estimated: 124.537819, ground truth: 124.954948
estimated: 116.482445, ground truth: 115.813248
estimated: 116.428307, ground truth: 109.050224
estimated: 103.499962, ground truth: 110.943245
estimated: 105.242905, ground truth: 101.077950
estimated: 109.018578, ground truth: 106.260895
estimated: 108.063583, ground truth: 106.872688
estimated: 109.774254, ground truth: 109.921486
estimated: 120.152626, ground truth: 122.810326
estimated: 111.564331, ground truth: 112.505455
estimated: 115.237236, ground truth: 115.416031
estimated: 104.312569, ground truth: 102.544937
estimated: 107.227753, ground truth: 102.521324
estimated: 108.022354, ground truth: 103.718842
estimated: 107.135208, ground truth: 107.599937
estimated: 116.047989, ground truth: 118.538536
estimated: 113.990685, ground truth: 108.279259
estimated: 105.692192, ground truth: 104.395958
estimated: 109.402222, ground truth: 106.961334
estimated: 109.307556, ground truth: 105.905533
estimated: 109.071831, ground truth: 109.175468
estimated: 117.049355, ground truth: 118.978302
estimated: 112.298935, ground truth: 113.061653
estimated: 98.019402, ground truth: 100.180473
estimated: 110.789848, ground truth: 104.062248
estimated: 102.979828, ground truth: 109.101257
estimated: 114.815002, ground truth: 113.226974
estimated: 106.299698, ground truth: 100.399109
estimated: 113.019310, ground truth: 114.162590
estimated: 100.203163, ground truth: 102.346550
estimated: 109.026772, ground truth: 108.102577
estimated: 93.799370, ground truth: 95.844788
estimated: 123.066010, ground truth: 122.234497
estimated: 91.454620, ground truth: 85.311821
estimated: 106.200508, ground truth: 107.180542
estimated: 109.093422, ground truth: 104.245598
estimated: 108.490524, ground truth: 106.924026
estimated: 117.251686, ground truth: 115.315514
estimated: 101.185028, ground truth: 105.432686
estimated: 109.399338, ground truth: 107.474144
estimated: 106.514755, ground truth: 108.493073
estimated: 110.853935, ground truth: 110.536713
estimated: 117.258003, ground truth: 124.022827

meanError: 0.821281
precision: 3.231831
rmse: 3.311776

trainData length: 60
valiData length: 69
testData length: 69
Train time: 319.444044 sec
min val_loss: 18.955293, epoch: 1796
min val_precision: 3.474449, epoch: 1770
k = 1
estimated: 106.289925, ground truth: 100.375366
estimated: 106.133873, ground truth: 111.662880
estimated: 104.794113, ground truth: 106.863365
estimated: 98.184158, ground truth: 98.598244
estimated: 103.105553, ground truth: 101.599197
estimated: 120.179703, ground truth: 113.171875
estimated: 113.721428, ground truth: 114.066391
estimated: 113.854828, ground truth: 106.433807
estimated: 109.085800, ground truth: 116.643044
estimated: 111.839188, ground truth: 108.590630
estimated: 118.027618, ground truth: 115.904518
estimated: 106.370529, ground truth: 111.118668
estimated: 115.395584, ground truth: 114.075546
estimated: 115.196045, ground truth: 117.830360
estimated: 108.876694, ground truth: 111.229416
estimated: 105.053062, ground truth: 100.151939
estimated: 113.737854, ground truth: 115.890823
estimated: 122.381851, ground truth: 125.559074
estimated: 106.548676, ground truth: 102.719612
estimated: 108.381653, ground truth: 110.014069
estimated: 115.189987, ground truth: 116.050499
estimated: 101.590965, ground truth: 101.551834
estimated: 111.524788, ground truth: 114.684563
estimated: 121.944977, ground truth: 107.776871
estimated: 110.914017, ground truth: 109.384140
estimated: 108.269966, ground truth: 109.291389
estimated: 124.197357, ground truth: 124.954948
estimated: 119.663467, ground truth: 115.813248
estimated: 113.636093, ground truth: 109.050224
estimated: 106.936470, ground truth: 110.943245
estimated: 104.622131, ground truth: 101.077950
estimated: 108.820938, ground truth: 106.260895
estimated: 111.375679, ground truth: 106.872688
estimated: 110.698235, ground truth: 109.921486
estimated: 122.725067, ground truth: 122.810326
estimated: 111.987000, ground truth: 112.505455
