feature length: 15
Read data and preprocess ...

trainData length: 20
valiData length: 89
testData length: 89
Train time: 227.224257 sec
min val_loss: 54.383314, epoch: 1410
min val_precision: 6.262534, epoch: 5
k = 0
estimated: 109.181137, ground truth: 112.569870
estimated: 109.181015, ground truth: 101.371834
estimated: 109.181015, ground truth: 116.219223
estimated: 109.181007, ground truth: 117.353081
estimated: 109.181023, ground truth: 120.060135
estimated: 109.181183, ground truth: 114.419067
estimated: 109.180984, ground truth: 118.152802
estimated: 109.180779, ground truth: 123.609985
estimated: 109.181015, ground truth: 106.499222
estimated: 109.181007, ground truth: 107.003319
estimated: 109.180992, ground truth: 111.127892
estimated: 109.180954, ground truth: 114.579292
estimated: 109.181282, ground truth: 108.069992
estimated: 109.181061, ground truth: 119.159546
estimated: 109.180824, ground truth: 106.480530
estimated: 109.181168, ground truth: 122.697914
estimated: 109.181007, ground truth: 106.401100
estimated: 109.181007, ground truth: 113.997643
estimated: 109.180908, ground truth: 112.726212
estimated: 109.180908, ground truth: 125.872055
estimated: 109.180992, ground truth: 109.782593
estimated: 109.181015, ground truth: 112.086723
estimated: 109.180870, ground truth: 100.878716
estimated: 109.181038, ground truth: 110.374893
estimated: 109.181038, ground truth: 107.124588
estimated: 109.180885, ground truth: 119.951614
estimated: 109.180893, ground truth: 89.883118
estimated: 109.180878, ground truth: 108.632416
estimated: 109.181313, ground truth: 122.257034
estimated: 109.181023, ground truth: 111.920921
estimated: 109.180908, ground truth: 105.858734
estimated: 109.181061, ground truth: 116.355980
estimated: 109.180954, ground truth: 116.597511
estimated: 109.180939, ground truth: 102.563828
estimated: 109.181030, ground truth: 106.214165
estimated: 109.180733, ground truth: 120.227402
estimated: 109.181053, ground truth: 108.037453
estimated: 109.180801, ground truth: 104.471130
estimated: 109.181236, ground truth: 105.376503
estimated: 109.181259, ground truth: 111.054039
estimated: 109.181091, ground truth: 103.808258
estimated: 109.180946, ground truth: 114.602180
estimated: 109.181038, ground truth: 110.638374
estimated: 109.181290, ground truth: 124.282906
estimated: 109.180946, ground truth: 116.355988
estimated: 109.181000, ground truth: 120.430733
estimated: 109.181000, ground truth: 120.087265
estimated: 109.180977, ground truth: 106.690674
estimated: 109.181282, ground truth: 123.053062
estimated: 109.180824, ground truth: 114.125938
estimated: 109.181282, ground truth: 127.073135
estimated: 109.180923, ground truth: 112.068298
estimated: 109.181160, ground truth: 104.973335
estimated: 109.181145, ground truth: 113.204010
estimated: 109.180969, ground truth: 109.147652
estimated: 109.180939, ground truth: 113.763840
estimated: 109.180962, ground truth: 114.373283
estimated: 109.180878, ground truth: 112.491676
estimated: 109.181206, ground truth: 113.479439
estimated: 109.181061, ground truth: 110.014069
estimated: 109.181244, ground truth: 116.050499
estimated: 109.180847, ground truth: 101.551834
estimated: 109.180992, ground truth: 114.684563
estimated: 109.181213, ground truth: 107.776871
estimated: 109.180923, ground truth: 109.384140
estimated: 109.181076, ground truth: 109.291389
estimated: 109.180809, ground truth: 124.954948
estimated: 109.181023, ground truth: 115.813248
estimated: 109.181305, ground truth: 109.050224
estimated: 109.181107, ground truth: 110.943245
estimated: 109.181000, ground truth: 101.077950
estimated: 109.181168, ground truth: 106.260895
estimated: 109.180962, ground truth: 106.872688
estimated: 109.180962, ground truth: 109.921486
