feature length: 15
Read data and preprocess ...

trainData length: 40
valiData length: 79
testData length: 79
Train time: 255.721651 sec
min val_loss: 53.319761, epoch: 636
min val_precision: 6.153795, epoch: 2
k = 0
estimated: 116.731400, ground truth: 104.395958
estimated: 110.630730, ground truth: 106.961334
estimated: 110.148293, ground truth: 105.905533
estimated: 113.948463, ground truth: 109.175468
estimated: 111.998512, ground truth: 118.978302
estimated: 116.365768, ground truth: 113.061653
estimated: 102.817741, ground truth: 100.180473
estimated: 113.460785, ground truth: 104.062248
estimated: 110.778885, ground truth: 109.101257
estimated: 112.913712, ground truth: 113.226974
estimated: 111.938728, ground truth: 100.399109
estimated: 112.933365, ground truth: 114.162590
estimated: 108.116829, ground truth: 102.346550
estimated: 107.312096, ground truth: 108.102577
estimated: 110.270973, ground truth: 95.844788
estimated: 114.323227, ground truth: 122.234497

meanError: 0.006506
precision: 6.275490
rmse: 6.235649

trainData length: 40
valiData length: 79
testData length: 79
Train time: 263.725394 sec
min val_loss: 29.122197, epoch: 1787
min val_precision: 4.579398, epoch: 1788
k = 2
estimated: 108.170609, ground truth: 100.375366
estimated: 109.206589, ground truth: 111.662880
estimated: 113.503281, ground truth: 106.863365
estimated: 104.701950, ground truth: 98.598244
estimated: 109.899017, ground truth: 101.599197
estimated: 107.821724, ground truth: 113.171875
estimated: 108.358459, ground truth: 114.066391
estimated: 117.500267, ground truth: 106.433807
estimated: 113.524620, ground truth: 116.643044
estimated: 108.057030, ground truth: 108.590630
estimated: 114.424492, ground truth: 115.904518
estimated: 106.133873, ground truth: 111.118668
estimated: 111.302635, ground truth: 114.075546
estimated: 108.230354, ground truth: 117.830360
estimated: 108.549210, ground truth: 111.229416
estimated: 108.301476, ground truth: 100.151939
estimated: 116.005219, ground truth: 115.890823
estimated: 115.831612, ground truth: 125.559074
estimated: 109.313515, ground truth: 102.719612
estimated: 111.131310, ground truth: 103.379799
estimated: 108.033447, ground truth: 112.569870
estimated: 105.614502, ground truth: 101.371834
estimated: 112.868591, ground truth: 116.219223
estimated: 116.806221, ground truth: 117.353081
estimated: 116.440582, ground truth: 120.060135
estimated: 118.915184, ground truth: 114.419067
estimated: 105.698524, ground truth: 118.152802
estimated: 120.972023, ground truth: 123.609985
estimated: 107.367104, ground truth: 106.499222
estimated: 111.046555, ground truth: 107.003319
estimated: 111.015427, ground truth: 111.127892
estimated: 110.075798, ground truth: 114.579292
estimated: 104.843895, ground truth: 108.069992
estimated: 113.916817, ground truth: 119.159546
estimated: 111.483482, ground truth: 106.480530
estimated: 109.627068, ground truth: 122.697914
estimated: 110.356491, ground truth: 106.401100
estimated: 111.858444, ground truth: 113.997643
estimated: 109.081825, ground truth: 113.479439
estimated: 106.777946, ground truth: 110.014069
estimated: 111.018379, ground truth: 116.050499
estimated: 107.161827, ground truth: 101.551834
estimated: 109.666077, ground truth: 114.684563
estimated: 117.275589, ground truth: 107.776871
estimated: 107.986794, ground truth: 109.384140
estimated: 110.007774, ground truth: 109.291389
estimated: 103.749359, ground truth: 124.954948
estimated: 112.513847, ground truth: 115.813248
estimated: 113.643089, ground truth: 109.050224
estimated: 108.563774, ground truth: 110.943245
estimated: 109.786125, ground truth: 101.077950
estimated: 107.915886, ground truth: 106.260895
estimated: 112.785789, ground truth: 106.872688
estimated: 108.693474, ground truth: 109.921486
estimated: 112.261940, ground truth: 122.810326
estimated: 110.963371, ground truth: 112.505455
estimated: 119.677643, ground truth: 115.416031
estimated: 105.772629, ground truth: 102.544937
estimated: 108.399246, ground truth: 102.521324
estimated: 110.814430, ground truth: 103.718842
estimated: 110.719498, ground truth: 107.599937
estimated: 113.224884, ground truth: 118.538536
estimated: 109.371544, ground truth: 108.279259
estimated: 118.133652, ground truth: 104.395958
estimated: 107.468773, ground truth: 106.961334
estimated: 110.400734, ground truth: 105.905533
estimated: 111.879555, ground truth: 109.175468
estimated: 117.055695, ground truth: 118.978302
estimated: 118.199928, ground truth: 113.061653
estimated: 106.193535, ground truth: 100.180473
estimated: 114.848831, ground truth: 104.062248
estimated: 109.003967, ground truth: 109.101257
estimated: 115.089622, ground truth: 113.226974
estimated: 108.450882, ground truth: 100.399109
estimated: 114.441643, ground truth: 114.162590
estimated: 106.291504, ground truth: 102.346550
estimated: 109.599655, ground truth: 108.102577
estimated: 105.929314, ground truth: 95.844788
estimated: 114.557541, ground truth: 122.234497

meanError: 0.474007
precision: 6.250728
rmse: 6.229101

trainData length: 40
valiData length: 79
testData length: 79
Train time: 263.676583 sec
min val_loss: 53.319945, epoch: 622
min val_precision: 6.128198, epoch: 1799
k = 3
estimated: 109.475998, ground truth: 100.375366
estimated: 109.475960, ground truth: 111.662880
estimated: 109.476326, ground truth: 106.863365
estimated: 109.476295, ground truth: 98.598244
estimated: 109.476288, ground truth: 101.599197
estimated: 109.475990, ground truth: 113.171875
estimated: 109.476128, ground truth: 114.066391
estimated: 109.476334, ground truth: 106.433807
estimated: 109.476028, ground truth: 116.643044
estimated: 109.475945, ground truth: 108.590630
estimated: 109.475876, ground truth: 115.904518
estimated: 109.475906, ground truth: 111.118668
estimated: 109.476089, ground truth: 114.075546
estimated: 109.476067, ground truth: 117.830360
estimated: 109.475876, ground truth: 111.229416
estimated: 109.476112, ground truth: 100.151939
estimated: 109.476349, ground truth: 115.890823
