feature length: 15
Read data and preprocess ...

trainData length: 60
valiData length: 69
testData length: 69
Train time: 293.421742 sec
min val_loss: 30.340075, epoch: 1788
min val_precision: 4.767463, epoch: 1796
k = 0
estimated: 111.196579, ground truth: 103.808258
estimated: 114.544952, ground truth: 114.602180
estimated: 109.729942, ground truth: 110.638374
estimated: 109.922691, ground truth: 124.282906
estimated: 116.816200, ground truth: 116.355988
estimated: 116.683228, ground truth: 120.430733
estimated: 109.022255, ground truth: 120.087265
estimated: 113.019569, ground truth: 106.690674
estimated: 109.201416, ground truth: 123.053062
estimated: 116.698746, ground truth: 114.125938
estimated: 118.998093, ground truth: 127.073135
estimated: 111.515739, ground truth: 112.068298
estimated: 107.070114, ground truth: 104.973335
estimated: 114.465858, ground truth: 113.204010
estimated: 112.977081, ground truth: 109.147652
estimated: 115.310028, ground truth: 113.763840
estimated: 115.294258, ground truth: 114.373283
estimated: 110.653915, ground truth: 112.491676
estimated: 111.419998, ground truth: 113.479439
estimated: 110.682343, ground truth: 110.014069
estimated: 111.933159, ground truth: 116.050499
estimated: 99.482986, ground truth: 101.551834
estimated: 112.327507, ground truth: 114.684563
estimated: 108.445107, ground truth: 107.776871
estimated: 110.169472, ground truth: 109.384140
estimated: 113.210831, ground truth: 109.291389
estimated: 112.752182, ground truth: 124.954948
estimated: 112.468529, ground truth: 115.813248
estimated: 116.742439, ground truth: 109.050224
estimated: 108.543907, ground truth: 110.943245
estimated: 106.342064, ground truth: 101.077950
estimated: 108.757530, ground truth: 106.260895
estimated: 112.840569, ground truth: 106.872688
estimated: 107.794197, ground truth: 109.921486
estimated: 116.963058, ground truth: 122.810326
estimated: 113.129684, ground truth: 112.505455
estimated: 112.783661, ground truth: 115.416031
estimated: 109.168953, ground truth: 102.544937
estimated: 111.280922, ground truth: 102.521324
estimated: 102.346741, ground truth: 103.718842
estimated: 113.555809, ground truth: 107.599937
estimated: 112.790009, ground truth: 118.538536
estimated: 111.031609, ground truth: 108.279259
estimated: 111.116577, ground truth: 104.395958
estimated: 115.020164, ground truth: 106.961334
estimated: 115.687294, ground truth: 105.905533
estimated: 114.670769, ground truth: 109.175468
estimated: 108.855736, ground truth: 118.978302
estimated: 112.517281, ground truth: 113.061653
estimated: 104.127319, ground truth: 100.180473
estimated: 110.387756, ground truth: 104.062248
estimated: 105.555656, ground truth: 109.101257
estimated: 117.239578, ground truth: 113.226974
estimated: 111.668640, ground truth: 100.399109
estimated: 110.104179, ground truth: 114.162590
estimated: 106.555496, ground truth: 102.346550
estimated: 109.371643, ground truth: 108.102577
estimated: 102.632324, ground truth: 95.844788
estimated: 115.641869, ground truth: 122.234497
estimated: 97.621696, ground truth: 85.311821
estimated: 104.645462, ground truth: 107.180542
estimated: 112.660080, ground truth: 104.245598
estimated: 111.397171, ground truth: 106.924026
estimated: 115.584709, ground truth: 115.315514
estimated: 103.003761, ground truth: 105.432686
estimated: 110.681717, ground truth: 107.474144
estimated: 110.411484, ground truth: 108.493073
estimated: 109.481422, ground truth: 110.536713
estimated: 118.685455, ground truth: 124.022827

meanError: 0.581162
precision: 5.774062
rmse: 5.761455

trainData length: 60
valiData length: 69
testData length: 69
Train time: 310.659058 sec
min val_loss: 23.803028, epoch: 1579
min val_precision: 4.056129, epoch: 1709
k = 1
estimated: 106.895554, ground truth: 100.375366
estimated: 109.479347, ground truth: 111.662880
estimated: 102.849243, ground truth: 106.863365
estimated: 98.445862, ground truth: 98.598244
estimated: 100.474220, ground truth: 101.599197
estimated: 109.237793, ground truth: 113.171875
estimated: 109.999519, ground truth: 114.066391
estimated: 118.371590, ground truth: 106.433807
estimated: 111.825150, ground truth: 116.643044
estimated: 108.490074, ground truth: 108.590630
estimated: 112.704727, ground truth: 115.904518
estimated: 102.005470, ground truth: 111.118668
estimated: 111.903427, ground truth: 114.075546
estimated: 110.544128, ground truth: 117.830360
estimated: 108.843414, ground truth: 111.229416
estimated: 104.747704, ground truth: 100.151939
estimated: 115.905113, ground truth: 115.890823
estimated: 116.889244, ground truth: 125.559074
