Read data and preprocess ...

trainData length: 40
valiData length: 79
testData length: 79
Train time: 272.856003 sec
min val_loss: 17.648167, epoch: 1780
min val_precision: 3.442495, epoch: 1800
k = 0
estimated: 106.593163, ground truth: 109.782593
estimated: 112.358589, ground truth: 112.086723
estimated: 101.793716, ground truth: 100.878716
estimated: 110.200508, ground truth: 110.374893
estimated: 105.176292, ground truth: 107.124588
estimated: 114.684647, ground truth: 119.951614
estimated: 99.309387, ground truth: 89.883118
estimated: 108.179848, ground truth: 108.632416
estimated: 116.996269, ground truth: 122.257034
estimated: 114.762985, ground truth: 111.920921
estimated: 102.338844, ground truth: 105.858734
estimated: 116.878105, ground truth: 116.355980
estimated: 110.448189, ground truth: 116.597511
estimated: 108.233818, ground truth: 102.563828
estimated: 107.785721, ground truth: 106.214165
estimated: 119.147423, ground truth: 120.227402
estimated: 114.023956, ground truth: 108.037453
estimated: 108.485413, ground truth: 104.471130
estimated: 107.221390, ground truth: 105.376503
estimated: 112.173920, ground truth: 111.054039
estimated: 109.231590, ground truth: 103.808258
estimated: 119.382843, ground truth: 114.602180
estimated: 112.187492, ground truth: 110.638374
estimated: 120.262383, ground truth: 124.282906
estimated: 114.315941, ground truth: 116.355988
estimated: 123.540642, ground truth: 120.430733
estimated: 114.727829, ground truth: 120.087265
estimated: 111.741402, ground truth: 106.690674
estimated: 121.330475, ground truth: 123.053062
estimated: 119.675507, ground truth: 114.125938
estimated: 117.148232, ground truth: 127.073135
estimated: 107.076111, ground truth: 112.068298
estimated: 104.824852, ground truth: 104.973335
estimated: 114.834496, ground truth: 113.204010
estimated: 111.875732, ground truth: 109.147652
estimated: 113.680855, ground truth: 113.763840
estimated: 117.687256, ground truth: 114.373283
estimated: 112.850464, ground truth: 112.491676
estimated: 112.705719, ground truth: 113.479439
estimated: 107.906609, ground truth: 110.014069
estimated: 112.372574, ground truth: 116.050499
estimated: 103.907738, ground truth: 101.551834
estimated: 113.848503, ground truth: 114.684563
estimated: 113.264908, ground truth: 107.776871
estimated: 110.542496, ground truth: 109.384140
estimated: 108.644630, ground truth: 109.291389
estimated: 116.848038, ground truth: 124.954948
estimated: 118.261963, ground truth: 115.813248
estimated: 113.111763, ground truth: 109.050224
estimated: 103.420624, ground truth: 110.943245
estimated: 105.381767, ground truth: 101.077950
estimated: 109.712860, ground truth: 106.260895
estimated: 106.868668, ground truth: 106.872688
estimated: 110.451622, ground truth: 109.921486
estimated: 116.211975, ground truth: 122.810326
estimated: 109.553139, ground truth: 112.505455
estimated: 113.000893, ground truth: 115.416031
estimated: 106.631920, ground truth: 102.544937
estimated: 108.724464, ground truth: 102.521324
estimated: 107.925369, ground truth: 103.718842
estimated: 109.521622, ground truth: 107.599937
estimated: 112.918571, ground truth: 118.538536
estimated: 113.634842, ground truth: 108.279259
estimated: 105.494469, ground truth: 104.395958
estimated: 110.365837, ground truth: 106.961334
estimated: 108.556252, ground truth: 105.905533
estimated: 108.048935, ground truth: 109.175468
estimated: 112.883102, ground truth: 118.978302
estimated: 115.020859, ground truth: 113.061653
estimated: 100.034622, ground truth: 100.180473
estimated: 108.433022, ground truth: 104.062248
estimated: 102.975212, ground truth: 109.101257
estimated: 113.833626, ground truth: 113.226974
estimated: 107.522842, ground truth: 100.399109
estimated: 110.849525, ground truth: 114.162590
estimated: 100.933098, ground truth: 102.346550
estimated: 108.804329, ground truth: 108.102577
estimated: 100.162964, ground truth: 95.844788
estimated: 120.628380, ground truth: 122.234497

meanError: 0.291965
precision: 4.007394
rmse: 3.992640

trainData length: 40
valiData length: 79
testData length: 79
Train time: 271.996267 sec
min val_loss: 18.369569, epoch: 1784
min val_precision: 3.444498, epoch: 1788
k = 1
estimated: 106.837852, ground truth: 100.375366
estimated: 105.931122, ground truth: 111.662880
estimated: 104.638481, ground truth: 106.863365
estimated: 94.460388, ground truth: 98.598244
estimated: 103.019974, ground truth: 101.599197
estimated: 116.418106, ground truth: 113.171875
estimated: 110.337929, ground truth: 114.066391
estimated: 110.793159, ground truth: 106.433807
estimated: 107.933418, ground truth: 116.643044
estimated: 114.502144, ground truth: 108.590630
estimated: 120.447914, ground truth: 115.904518
estimated: 104.737007, ground truth: 111.118668
estimated: 111.714371, ground truth: 114.075546
estimated: 112.191643, ground truth: 117.830360
estimated: 112.863785, ground truth: 111.229416
estimated: 104.775703, ground truth: 100.151939
estimated: 112.919586, ground truth: 115.890823
estimated: 121.986992, ground truth: 125.559074
estimated: 105.300407, ground truth: 102.719612
estimated: 112.549301, ground truth: 111.054039
estimated: 107.131721, ground truth: 103.808258
estimated: 121.362816, ground truth: 114.602180
estimated: 112.323799, ground truth: 110.638374
estimated: 119.801521, ground truth: 124.282906
estimated: 116.047356, ground truth: 116.355988
estimated: 122.351097, ground truth: 120.430733
estimated: 116.156990, ground truth: 120.087265
estimated: 109.912842, ground truth: 106.690674
estimated: 120.880821, ground truth: 123.053062
estimated: 120.858185, ground truth: 114.125938
estimated: 120.644073, ground truth: 127.073135
estimated: 106.749687, ground truth: 112.068298
estimated: 106.786583, ground truth: 104.973335
estimated: 119.324898, ground truth: 113.204010
estimated: 110.165398, ground truth: 109.147652
estimated: 110.943016, ground truth: 113.763840
estimated: 119.880753, ground truth: 114.373283
estimated: 109.832024, ground truth: 112.491676
estimated: 116.086662, ground truth: 113.479439
estimated: 106.879066, ground truth: 110.014069
estimated: 114.658546, ground truth: 116.050499
estimated: 104.025085, ground truth: 101.551834
estimated: 113.707687, ground truth: 114.684563
